id,category,question,option_a,option_b,option_c,option_d,answer_index,points,difficulty
Q00001,MIT,Que signifie MIT dans Maroua Innovation Technology ?,Maroua Innovation Technology,Machine Intelligence Technology,Maroua Internet Telecom,Modern Innovation Team,0,10,facile
Q00002,MIT,Quel est le domaine principal de MIT ?,Développement de solutions technologiques,Production agricole,Transport routier,Commerce de détail,0,10,facile
Q00003,MIT,Dans quelle ville MIT est-elle implantée ?,Maroua,Douala,Bafoussam,Bertoua,0,10,facile
Q00004,MIT,Quelle est une expertise de MIT ?,Intelligence artificielle et Machine Learning,Construction de routes,Pêche industrielle,Production textile,0,10,facile
Q00005,MIT,Quel framework frontend est cité par MIT ?,React,Django,Spring,Laravel uniquement,0,10,facile
Q00006,MIT,Quel framework full-stack JavaScript est cité par MIT ?,Next.js,Symfony,Flask,Rails,0,10,facile
Q00007,MIT,Quel langage est utilisé côté mobile chez MIT ?,Kotlin,COBOL,Fortran,Pascal,0,10,facile
Q00008,MIT,Quel framework mobile est cité par MIT ?,Flutter,jQuery,Express,Django,0,10,facile
Q00009,MIT,Quelle base de données est citée parmi les technologies MIT ?,PostgreSQL,SQLite uniquement,Access,FoxPro,0,10,facile
Q00010,MIT,Quelle technologie cloud est citée par MIT ?,AWS,FTP,Telnet,IRC,0,10,facile
Q00011,MIT,Quelle est une mission affichée par MIT ?,Développer des solutions contextuelles et impactantes,Remplacer les écoles,Vendre du matériel uniquement,Créer des jeux exclusivement,0,10,facile
Q00012,MIT,Quelle vision est associée à MIT ?,Démocratiser l'accès à la technologie en Afrique,Limiter l'accès au numérique,Supprimer les services mobiles,Réserver l'IA aux grandes entreprises,0,10,facile
Q00013,MIT,Quel type de développement MIT met en avant ?,Applications Web Progressives,Applications DOS uniquement,Sites statiques sans interaction,Logiciels sans interface,0,10,facile
Q00014,MIT,Quel domaine DevOps est cité par MIT ?,Docker,BIOS,Assembly,VBScript,0,10,facile
Q00015,MIT,Quelle solution agricole de MIT est mise en avant ?,NDEMRI,Malloum,Pharmacie de Garde Maroua,Djanguirde,0,10,facile
Q00016,MIT,Quelle solution éducative par SMS est associée à MIT ?,Malloum,NDEMRI,Docker,PostgreSQL,0,10,facile
Q00017,MIT,Quel service numérique de santé est visible dans l'écosystème MIT ?,Pharmacie de Garde Maroua,NDEMRI,Malloum,React,0,10,facile
Q00018,MIT,Quelle méthode de travail MIT cite-t-elle ?,Méthodologies agiles,Méthode sans test,Développement sans analyse,Programmation papier,0,10,facile
Q00019,MIT,Quelle étape vient avant le développement dans la méthode affichée par MIT ?,Design,Déploiement,Monitoring,Maintenance,0,10,facile
Q00020,MIT,Quelle étape correspond à l'étude des besoins et de faisabilité ?,Analyse,Design,Développement,Déploiement,0,10,facile
Q00021,MIT,Quelle valeur résume l'approche de MIT ?,Innovation ancrée dans les réalités locales,Technologie sans contexte,Solutions exclusivement étrangères,Développement sans utilisateurs,0,10,facile
Q00022,MIT,Quel type d'architecture MIT mentionne-t-elle ?,Microservices,Architecture uniquement monolithique,Peer-to-peer obligatoire,Mainframe uniquement,0,10,facile
Q00023,MIT,Quel langage backend est cité par MIT ?,Python,BASIC,Delphi uniquement,Lua uniquement,0,10,facile
Q00024,MIT,Quel framework backend PHP est cité ?,Laravel,React,Flutter,TensorFlow,0,10,facile
Q00025,MIT,Quel framework frontend supplémentaire est cité ?,Vue.js,NumPy,Keras,Docker,0,10,facile
Q00026,MIT,Au stand MIT : Que signifie MIT dans Maroua Innovation Technology ?,Maroua Innovation Technology,Machine Intelligence Technology,Maroua Internet Telecom,Modern Innovation Team,0,10,facile
Q00027,MIT,Au stand MIT : Quel est le domaine principal de MIT ?,Développement de solutions technologiques,Production agricole,Transport routier,Commerce de détail,0,10,facile
Q00028,MIT,Au stand MIT : Dans quelle ville MIT est-elle implantée ?,Maroua,Douala,Bafoussam,Bertoua,0,10,facile
Q00029,MIT,Au stand MIT : Quelle est une expertise de MIT ?,Intelligence artificielle et Machine Learning,Construction de routes,Pêche industrielle,Production textile,0,10,facile
Q00030,MIT,Au stand MIT : Quel framework frontend est cité par MIT ?,React,Django,Spring,Laravel uniquement,0,10,facile
Q00031,MIT,Au stand MIT : Quel framework full-stack JavaScript est cité par MIT ?,Next.js,Symfony,Flask,Rails,0,10,facile
Q00032,MIT,Au stand MIT : Quel langage est utilisé côté mobile chez MIT ?,Kotlin,COBOL,Fortran,Pascal,0,10,facile
Q00033,MIT,Au stand MIT : Quel framework mobile est cité par MIT ?,Flutter,jQuery,Express,Django,0,10,facile
Q00034,MIT,Au stand MIT : Quelle base de données est citée parmi les technologies MIT ?,PostgreSQL,SQLite uniquement,Access,FoxPro,0,10,facile
Q00035,MIT,Au stand MIT : Quelle technologie cloud est citée par MIT ?,AWS,FTP,Telnet,IRC,0,10,facile
Q00036,MIT,Au stand MIT : Quelle est une mission affichée par MIT ?,Développer des solutions contextuelles et impactantes,Remplacer les écoles,Vendre du matériel uniquement,Créer des jeux exclusivement,0,10,facile
Q00037,MIT,Au stand MIT : Quelle vision est associée à MIT ?,Démocratiser l'accès à la technologie en Afrique,Limiter l'accès au numérique,Supprimer les services mobiles,Réserver l'IA aux grandes entreprises,0,10,facile
Q00038,MIT,Au stand MIT : Quel type de développement MIT met en avant ?,Applications Web Progressives,Applications DOS uniquement,Sites statiques sans interaction,Logiciels sans interface,0,10,facile
